scene,roi,known_case,center_x,center_y,center_z,radius,number_of_local_gaussians,local_median_spacing,density_ratio,pca_eigenvalue_0,pca_eigenvalue_1,pca_eigenvalue_2,estimated_curvature,normal_confidence,mean_normal_dispersion,p95_normal_dispersion,semantic_entropy,semantic_purity,number_of_semantic_ids,graph_components_C0,graph_components_C1,graph_components_C3,largest_component_fraction,boundary_support_count,estimated_missing_surface_area
ramen,roi_B_junction,True,9.681763648986816,8.99536418914795,-0.1432567834854126,0.16126966005697724,219,0.010425297227755223,1.0000374895199262,0.0006192915025167167,0.0013704943703487515,0.004126197658479214,0.10008785873651505,0.8999119997024536,45.57162857055664,73.27217102050781,0.7939176559448242,0.9871794871794872,2,1,4,5,0.717948717948718,78,0.0817062378008459
ramen,roi_C_layered,True,6.148968696594238,3.03588604927063,0.24239303171634674,0.041701710023693064,178,0.01042605715104698,0.9998188364718849,1.1924910722882487e-05,7.512015872634947e-05,0.0001949370780494064,0.029679181054234505,0.9703207612037659,14.08910083770752,42.020050048828125,1.3892300128936768,0.9855072463768116,2,1,5,6,0.927536231884058,138,0.005463332099889833
ramen,roi_D_curved_v2,True,1.6062612533569336,-2.964165449142456,6.490692138671875,0.14136002612911597,111,0.01042568125184018,0.9999269861407535,0.0004647682944778353,0.001000727410428226,0.0029859880451112986,0.10815586149692535,0.8918441534042358,33.21746063232422,83.54226684570312,0.7851340174674988,1.0,1,1,2,2,0.8571428571428571,35,0.06277736839026876
ramen,ramen_sample_001,False,0.8923490643501282,1.80888032913208,3.718146800994873,0.04786205153877131,325,0.010425659692196087,0.9999331895221674,6.544260395457968e-05,0.00014841480879113078,0.000273506942903623,0.13075707852840424,0.8692429065704346,42.338809967041016,84.6540298461914,1.9993594884872437,0.345679012345679,8,1,6,84,0.21810699588477367,243,0.00719668498193398
ramen,ramen_sample_002,False,0.41552963852882385,1.586025357246399,3.5134048461914062,0.041701710023693064,292,0.010427214848294945,0.999485854263717,2.3156126189860515e-05,6.64414546918124e-05,0.00014564167940989137,0.09987205266952515,0.9001279473304749,32.7336540222168,81.69878387451172,1.7414910793304443,0.5915492957746479,7,1,10,51,0.5070422535211268,284,0.005463332099889833
ramen,ramen_sample_003,False,-4.319498538970947,2.918576717376709,2.6959946155548096,0.13327462404249527,1220,0.010425022657418842,1.0001165074379046,0.00028480266337282956,0.0006228814017958939,0.0012995124561712146,0.11904466897249222,0.8809553980827332,49.4832763671875,81.74134826660156,1.5816781520843506,0.30978260869565216,9,1,7,61,0.14130434782608695,184,0.05580136271172139
ramen,ramen_sample_004,False,3.485766887664795,-1.6111522912979126,6.419590950012207,0.07498634774861401,195,0.010425394430184854,1.000009517868193,0.0003554898430593312,0.0006022145389579237,0.0011661200551316142,0.17675146460533142,0.823248565196991,45.916500091552734,86.69011688232422,1.2268922328948975,0.6530612244897959,4,1,5,12,0.46938775510204084,49,0.017665025790086213
ramen,ramen_sample_005,False,2.024998903274536,8.232654571533203,-0.8100177645683289,0.1331865730264534,404,0.010425153166878427,1.0000789474053107,0.00018715985061135143,0.00046397559344768524,0.001049761543981731,0.1167694479227066,0.8832305073738098,41.477298736572266,82.98867797851562,1.3859238624572754,0.5486111111111112,4,1,8,31,0.3541666666666667,144,0.05572765410210533
ramen,ramen_sample_006,False,2.728717565536499,3.6440844535827637,1.8140465021133423,0.07496023653077433,405,0.010425400640305161,1.0000077308359445,0.000198369802092202,0.00039920155541040003,0.000731782172806561,0.14273601770401,0.85726398229599,59.42763900756836,86.6241226196289,2.004786729812622,0.3675675675675676,8,1,2,47,0.15135135135135136,185,0.017652725550299835
ramen,ramen_sample_007,False,-4.211476802825928,2.5984256267547607,-1.8165249824523926,0.10149660446998814,310,0.010425630987069813,0.9999414489611027,6.864963506814092e-05,0.0002402283571427688,0.0005709116230718791,0.08403133600950241,0.9159687757492065,27.77387237548828,83.2288818359375,0.7646634578704834,0.9841269841269841,2,1,5,7,0.753968253968254,126,0.032363307475122345
ramen,ramen_sample_008,False,6.656081199645996,-0.12236840277910233,5.073674201965332,0.19006946763604832,441,0.010424935399576007,1.0001416208998466,0.000864857982378453,0.0020566692110151052,0.004555483348667622,0.11951698362827301,0.8804829716682434,53.3211555480957,84.05613708496094,1.8799468278884888,0.3493975903614458,8,1,6,25,0.1566265060240964,83,0.11349444078086722
ramen,ramen_sample_009,False,-3.7223269939422607,-1.3991808891296387,3.3401825428009033,0.1360512173303557,496,0.010425087822260294,1.0000977530559634,0.0003205588145647198,0.00078465515980497,0.001557062496431172,0.1365334391593933,0.8634665608406067,53.4631233215332,87.322998046875,1.400615930557251,0.6,6,1,4,22,0.4,130,0.05815067184681824
ramen,ramen_sample_010,False,0.5528318285942078,1.6652146577835083,2.3490402698516846,0.041701710023693064,602,0.010426481805552008,0.9996966782149911,3.831135472864844e-05,7.969175931066275e-05,0.00013902070350013673,0.14506827294826508,0.8549317121505737,61.68318176269531,87.26637268066406,1.6544511318206787,0.31539888682745826,9,1,11,251,0.10946196660482375,539,0.005463332099889833
ramen,ramen_sample_011,False,-1.4086790084838867,1.7998241186141968,2.431297779083252,0.041701710023693064,718,0.010426092412823305,0.9998086921337535,3.9662256313022226e-05,8.723473001737148e-05,0.00015713907487224787,0.134003147482872,0.8659968972206116,51.62804412841797,86.05996704101562,1.3760266304016113,0.362095531587057,12,1,20,181,0.15408320493066255,649,0.005463332099889833
ramen,ramen_sample_012,False,-0.901141881942749,0.5969848036766052,2.6550140380859375,0.041701710023693064,700,0.010426981305005883,0.9995530151519535,1.529977271275129e-05,4.532474486040883e-05,9.117853915086016e-05,0.09221266210079193,0.9077873826026917,19.576108932495117,60.85029602050781,1.2452391386032104,0.6283048211508554,14,1,13,96,0.6018662519440124,643,0.005463332099889833
ramen,ramen_sample_013,False,-4.545436859130859,1.1269687414169312,-0.32275626063346863,0.23654141280123678,3517,0.010425394430184854,1.000009517868193,8.954712393460795e-05,0.00025482094497419894,0.0006273947074078023,0.09912427514791489,0.9008757472038269,70.10791015625,87.9991226196289,1.5151097774505615,0.3958333333333333,4,2,16,29,0.2638888888888889,288,0.17577788940459976
ramen,ramen_sample_014,False,-4.601228713989258,0.5434919595718384,0.5560892820358276,0.041701710023693064,323,0.010426231389716614,0.9997687116896387,6.319960812106729e-05,0.00014723527419846505,0.00028087577084079385,0.12734001874923706,0.8726599812507629,64.97245025634766,87.0168685913086,1.4720741510391235,0.9627118644067797,2,1,15,20,0.7864406779661017,295,0.005463332099889833
ramen,ramen_sample_015,False,1.5976629257202148,1.5060571432113647,3.6276192665100098,0.041701710023693064,337,0.010425484045827289,0.9999837303676803,3.7737496313638985e-05,7.526938861701638e-05,0.00013629673048853874,0.15267983078956604,0.8473201394081116,61.112186431884766,88.00525665283203,1.1978241205215454,0.4266666666666667,9,1,7,100,0.3566666666666667,300,0.005463332099889833
ramen,ramen_sample_016,False,-1.1750733852386475,1.9769039154052734,2.146700859069824,0.041701710023693064,883,0.0104268426803896,0.9995928827800428,3.942972034565173e-05,8.200813317671418e-05,0.0001372544065816328,0.1475689858198166,0.852431058883667,56.45148849487305,87.1054458618164,1.296841025352478,0.38881664499349805,8,1,20,193,0.24577373211963588,769,0.005463332099889833
ramen,ramen_sample_017,False,-4.186044692993164,1.3719463348388672,1.784384846687317,0.07481175618244054,635,0.010425363736277445,1.0000183504492024,8.962795982370153e-05,0.0002012925106100738,0.000404489750508219,0.13268940150737762,0.867310643196106,49.06096267700195,87.29275512695312,1.1662336587905884,0.6805970149253732,7,1,15,70,0.5850746268656717,335,0.017582862191937592
ramen,ramen_sample_018,False,3.0766303539276123,2.578240394592285,2.840651512145996,0.09185096723621297,556,0.010425109669262118,1.000091465613718,0.00013218553795013577,0.00031755390227772295,0.0006372457137331367,0.1256757229566574,0.8743243217468262,52.69219207763672,85.94458770751953,1.6526758670806885,0.25,8,1,10,74,0.14285714285714285,224,0.026504361153761383
ramen,ramen_sample_019,False,-1.329789400100708,1.8013520240783691,3.775036573410034,0.07376128642772416,205,0.010425326317861493,1.0000291182378815,0.00016477819008287042,0.0004207745078019798,0.0008625519112683833,0.1011698916554451,0.8988301753997803,32.333492279052734,84.1235580444336,1.8071976900100708,0.32786885245901637,8,1,10,34,0.22950819672131148,122,0.01709254915297011
